"1","Création du cahier des charges","Rédiger le cahier des charges du projet.","2025-01-20","true"
"2","Développement de l'application","Développer l'application en respectant les spécifications.","2025-02-15","false"
"3","Mettre à jour le serveur","Lorem ipsum odor amet, consectetuer adipiscing elit. Non ultrices habitasse class volutpat aliquam magnis eros. Aliquam laoreet cras duis diam orci massa. Sodales duis sit malesuada hendrerit commodo. Ex id parturient, enim orci phasellus nullam urna? Tempus aptent praesent placerat elementum ex rhoncus rhoncus sociosqu nisi. Feugiat adipiscing praesent accumsan suscipit enim nascetur.","2025-02-05","true"
"4","Réunion avec l'équipe","Organiser une réunion pour discuter de l'état d'avancement du projet.","2025-01-25","false"
"5","Vérification des logs","Analyser les journaux pour identifier des anomalies récurrentes.","2025-01-30","false"
"6","Création d'un prototype","Développer un prototype fonctionnel pour la présentation client.","2025-02-10","false"
"7","Formation interne","Préparer et animer une formation sur les nouvelles technologies.","2025-01-28","true"
"8","Analyse des retours utilisateurs","Étudier les retours clients pour prioriser les améliorations.","2025-01-27","false"
"9","Développement de nouvelles fonctionnalités","Ajouter de nouvelles fonctionnalités pour améliorer l'expérience utilisateur.","2025-02-15","false"
"10","Préparation du lancement","Organiser le lancement du produit avec l'équipe marketing.","2025-02-20","false"
"11","Test de performance","Vérifier la performance de l'application en conditions réelles.","2025-02-25","false"
"12","Déploiement de l'application","Déployer l'application sur les serveurs de production.","2025-03-01","false"
"13","Maintenance préventive","Mettre en place des actions pour anticiper les pannes.","2025-03-05","false"
"14","Rédaction du rapport de fin de projet","Rédiger le rapport de fin de projet et préparer la présentation.","2025-03-08","false"
"15","Préparation de la présentation client","Préparer la présentation du projet pour le client.","2025-03-10","false"
"16","Formation client","Animer une formation pour expliquer le fonctionnement de l'application.","2025-03-15","false"
"17","Développement de l'application mobile","Développer une application mobile pour compléter l'offre.","2025-03-20","false"
"18","Développement de l'application web","Développer une application web pour compléter l'offre.","2025-03-25","false"
"19","Développement de l'application desktop","Développer une application desktop pour compléter l'offre.","2025-03-30","false"
"20","Développement de l'application IoT","Développer une application IoT pour compléter l'offre.","2025-04-05","false"
"21","Analyse de la concurrence","Étudier les offres concurrentes pour identifier les forces et faiblesses.","2025-04-10","false"
"22","Développement de l'application AR/VR","Développer une application de réalité augmentée/virtuelle.","2025-04-15","false"
"23","Formation des équipes","Organiser une formation pour les équipes sur les nouvelles technologies.","2025-04-20","false"
"24","Test de sécurité","Vérifier la sécurité de l'application et corriger les failles.","2025-04-25","false"
"25","Développement de l'application Big Data","Développer une application Big Data pour compléter l'offre.","2025-04-30","false"
"26","Développement de l'application IA","Développer une application d'intelligence artificielle pour compléter l'offre.","2025-05-05","false"
"27","Développement de l'application blockchain","Développer une application blockchain pour compléter l'offre.","2025-05-10","false"
"28","Développement de l'application cloud","Développer une application cloud pour compléter l'offre.","2025-05-15","false"
"29","Développement de l'application SaaS","Développer une application SaaS pour compléter l'offre.","2025-05-20","false"
"30","Développement de l'application PWA","Développer une application PWA pour compléter l'offre.","2025-05-25","false"